open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-01 06:30:00,87656.8,87669.1,87656.79,87658.77,32.24436,2026-01-01 06:44:59.999,2826711.02383970,3586,17.12391000,1501137.02839050,0
2026-01-01 06:45:00,87658.78,87658.78,87658.0,87658.0,12.39441,2026-01-01 06:59:59.999,1086474.06786970,2659,5.33130000,467333.48048860,0
2026-01-01 07:00:00,87658.01,87672.2,87596.0,87642.0,41.81557,2026-01-01 07:14:59.999,3664871.58075260,8409,14.01002000,1227821.22136030,0
2026-01-01 07:15:00,87642.0,87665.78,87605.67,87605.68,26.68763,2026-01-01 07:29:59.999,2339161.17987490,5861,8.79387000,770778.10995880,0
2026-01-01 07:30:00,87605.68,87667.92,87605.67,87642.01,90.36557,2026-01-01 07:44:59.999,7920832.84352760,10753,61.77062000,5414268.09797140,0
2026-01-01 07:45:00,87642.01,87673.01,87610.6,87631.88,66.40615,2026-01-01 07:59:59.999,5820472.70856680,8951,28.71407000,2516798.45140210,0
2026-01-01 08:00:00,87631.88,87811.13,87631.87,87750.39,121.91335,2026-01-01 08:14:59.999,10696384.87952060,24540,68.78895000,6034701.17428310,0
2026-01-01 08:15:00,87750.4,87773.4,87711.97,87739.53,44.70485,2026-01-01 08:29:59.999,3922471.04023450,13581,19.90460000,1746394.47961490,0
2026-01-01 08:30:00,87739.53,87778.95,87700.15,87700.17,96.10356,2026-01-01 08:44:59.999,8431672.05715610,11485,53.25215000,4672020.12398860,0
2026-01-01 08:45:00,87700.17,87770.9,87700.16,87770.9,22.49569,2026-01-01 08:59:59.999,1973518.89226690,8087,16.01703000,1405116.83850530,0
2026-01-01 09:00:00,87770.89,87849.27,87751.82,87849.26,44.99246,2026-01-01 09:14:59.999,3949777.87866830,11552,22.90648000,2011094.08501140,0
2026-01-01 09:15:00,87849.26,87965.25,87820.84,87836.02,98.25612,2026-01-01 09:29:59.999,8636059.29177190,24401,39.18321000,3443421.61726960,0
